name,x,y,p,color
Java,37.7244,-122.421,0.083884,#E41A1C
class,37.7107,-122.4372,0.058439,#FFFF33
instance,37.7589,-122.4153,0.42583,#377EB8
object,37.8021,-122.4369,0.40364,#FF7F00
language specification,37.793,-122.416,0.33259,#FF7F00
string,37.8045,-122.4076,0.28784,#FF7F00
thread,37.7924,-122.4352,0.33382,#FF7F00
constructor,37.7868,-122.4538,0.19965,#FF7F00
source code,37.8014,-122.4182,0.34165,#FF7F00
class method,37.7144,-122.4113,0.064774,#999999
file,37.7423,-122.4423,0.074148,#984EA3
object reference,37.7378,-122.4316,0.1226,#984EA3
inner class,37.7584,-122.4654,0.18995,#984EA3
stack,37.7225,-122.4885,0.092602,#984EA3
trace,37.7239,-122.4439,0.10242,#984EA3
default constructor,37.7373,-122.4589,0.12473,#984EA3
version,37.73,-122.3855,0.10309,#377EB8
interface,37.7399,-122.4169,0.20043,#377EB8
lock,37.7624,-122.4348,0.34092,#377EB8
pool,37.7692,-122.4463,0.29559,#377EB8
